time (s)	magX	magY	magZ
2873.466095	257.271790	-124.890709	157.815308
2873.469450	255.459961	-123.780251	155.945053
2873.473272	254.524826	-123.078911	154.600815
2873.476214	253.706604	-122.903572	153.899475
2873.479931	252.420807	-122.202232	151.912323
2873.483245	251.076553	-121.851555	149.516083
2873.486548	250.433670	-120.916420	148.054947
2873.489966	249.381638	-120.390419	147.002914
2873.493340	249.089417	-119.630623	145.483353
2873.496641	247.978958	-119.338402	143.613098
2873.499949	246.459381	-118.520164	142.619522
2873.503285	245.232025	-117.877266	140.807724
2873.506614	245.115143	-117.175926	138.879013
2873.510011	244.998245	-116.591469	137.534775
2873.513707	243.887787	-116.065468	136.424316
2873.517050	242.309769	-114.779655	134.144943
2873.520335	242.251312	-114.838112	132.800705
2873.523613	241.023956	-114.838112	131.281128
2873.526938	240.381058	-113.902977	130.053772
2873.530629	239.387497	-113.902977	129.001755
2873.533920	238.043259	-113.260094	127.248383
2873.537237	237.283463	-112.500298	126.722397
2873.540521	237.049683	-112.792519	125.495041
2873.543878	236.523666	-112.500298	124.969025
2873.547203	235.296310	-112.091164	122.748093
2873.550531	234.770309	-111.974281	121.871414
2873.554269	234.127411	-111.974281	121.871414
2873.557637	233.776733	-112.500298	121.111633
2873.560972	233.484512	-112.032738	120.059616
2873.564258	232.432495	-111.974281	119.475159
2873.567538	231.322037	-111.974281	119.650497
2873.570790	231.088242	-112.208061	119.475159
2873.574097	230.912918	-112.500298	118.890717
2873.577915	230.796036	-112.617180	118.481598
2873.581191	230.620682	-112.909416	118.890717
2873.584524	230.270020	-112.675621	118.364700
2873.587833	230.503799	-112.792519	118.598480
2873.591156	230.153122	-113.493874	118.773819
2873.594458	230.737579	-113.376976	120.293396
2873.597808	231.029816	-112.967857	120.001175
2873.601109	230.386902	-113.318520	119.533600
2873.604812	230.503799	-113.961433	120.936295
2873.608578	231.146698	-113.552299	121.345413
2873.611895	231.205139	-114.312096	121.345413
2873.615225	230.971359	-114.428993	121.929871
2873.618562	231.438919	-114.312096	122.163651
2873.621896	232.198715	-114.428993	123.624786
2873.625224	231.964935	-114.487434	124.150787
2873.628558	232.841614	-114.312096	124.267685
2873.631894	233.309174	-114.721214	124.618347
