crossing time (s)	slope (V/s)	crossing number
2873.098995	-63.439670	3549
2873.623186	-1.089333	3550
2874.113976	-61.438745	3551
2875.176966	-66.986740	3552
2876.239889	-66.847809	3553
2877.198248	-51.716747	3554
2878.250234	-53.223283	3555
2879.258095	-57.432882	3556
2880.259247	-55.533326	3557
2881.347209	-49.977993	3558
2882.371801	-50.236983	3559
2882.969472	-2.758528	3560
2883.371269	-49.508295	3561
2884.415312	-47.804505	3562
2885.494733	-47.175211	3563
2886.509489	-44.354664	3564
2887.593687	-47.098898	3565
2888.559650	-46.501387	3566
2889.618632	-46.236384	3567
2890.623569	-42.781420	3568
2891.706293	-43.653742	3569
2892.697404	-39.680211	3570
2893.756785	-42.598403	3571
2894.739143	-40.323160	3572
2895.797431	-34.462420	3573
2896.786145	-34.334620	3574
2897.886639	-38.291858	3575
2898.873944	-35.627709	3576
2899.935734	-33.684345	3577
2900.927951	-35.398902	3578
2902.012708	-32.691962	3579
2902.982788	-30.568456	3580
2904.062165	-28.852143	3581
2905.061101	-29.736629	3582
2906.117397	-29.289274	3583
2907.130700	-28.017330	3584
2908.204240	-29.446482	3585
2909.176281	-26.648515	3586
2910.275518	-28.786980	3587
2911.237832	-24.702428	3588
2912.352012	-26.179289	3589
2913.336076	-30.069752	3590
2913.901828	4.529211	3591
2914.401505	-25.808369	3592
2915.395652	-23.895992	3593
2916.484334	-23.423109	3594
2917.429911	-22.844617	3595
2918.529855	-22.299596	3596
2919.508041	-19.822486	3597
2920.594898	-20.505583	3598
2921.568742	-21.803958	3599
2922.627503	-18.946097	3600
2923.678603	-18.568282	3601
2924.744906	-17.711474	3602
2925.697976	-17.645946	3603
2926.804565	-16.836842	3604
2927.766985	-18.266573	3605
2928.820225	-17.542701	3606
2929.787337	-21.210869	3607
2930.881276	-18.200155	3608
2931.926771	-15.516863	3609
2932.978505	-16.470513	3610
2933.959161	-15.326605	3611
2935.042985	-14.675701	3612
2936.015298	-12.670130	3613
2937.113275	-12.528709	3614
2938.105245	-13.589196	3615
2939.209488	-12.353622	3616
2940.143360	-15.671546	3617
2941.253722	-13.546433	3618
2942.187168	-9.454291	3619
2943.309661	-11.334733	3620
2944.260484	-11.913155	3621
2944.883549	2.413601	3622
2945.436642	-17.521964	3623
2946.332713	-11.889780	3624
2947.454811	-12.435192	3625
2948.430725	-11.120737	3626
2949.530796	-10.778978	3627
2950.475297	-10.327054	3628
2951.576141	-9.939156	3629
2952.534198	-10.442366	3630
2953.652168	-8.774365	3631
2954.102040	4.895002	3632
2954.595583	-8.941302	3633
2955.726942	-13.357893	3634
2956.664473	-8.168084	3635
2957.786204	-7.457678	3636
2958.708098	-9.092864	3637
2959.796313	-8.485566	3638
2960.779013	-8.433159	3639
2961.896053	-7.463893	3640
2962.842291	-6.100932	3641
2963.975864	-5.956942	3642
2964.921002	-9.935023	3643
