time (s)	magX	magY	magZ
3478.968020	252.420807	-118.812386	164.770309
3478.971369	251.544113	-118.637062	162.607834
3478.974689	250.199890	-118.578606	160.854462
3478.978021	248.855637	-118.870842	159.860901
3478.981351	248.504974	-118.227928	157.698425
3478.984681	247.745178	-118.169502	157.230865
3478.988021	246.634720	-118.169502	155.302155
3478.991351	246.050262	-117.818825	154.425491
3478.994678	245.582703	-118.403282	153.665695
3478.998016	244.647583	-118.052605	153.081238
3479.001371	243.829330	-118.227928	151.620102
3479.004683	242.718872	-118.227928	150.801865
3479.008016	242.485092	-118.169502	149.808289
3479.011388	242.251312	-118.344826	149.691406
3479.014699	241.491516	-118.520164	149.106949
3479.018012	241.608414	-118.753944	148.405609
3479.021350	240.731735	-118.637062	148.288727
3479.024685	239.855057	-118.403282	148.054947
3479.028448	240.030380	-118.753944	147.295151
3479.031768	239.095261	-118.286385	146.827591
3479.035106	239.153717	-118.929283	146.593811
3479.038446	238.335480	-118.637062	146.243134
3479.041767	238.218582	-118.227928	146.243134
3479.045151	238.335480	-118.403282	146.067795
3479.048456	238.218582	-118.286385	146.944489
3479.051786	238.452362	-118.520164	146.067795
3479.055107	238.277039	-118.695488	146.184692
3479.058454	237.984802	-118.637062	145.249557
3479.062187	238.160141	-118.695488	145.483353
3479.065528	238.978378	-118.403282	146.184692
3479.068878	239.212158	-118.111046	145.600235
3479.072214	238.919922	-118.227928	146.418472
3479.075623	238.686142	-117.935722	146.418472
3479.078970	239.387497	-118.052605	147.119812
3479.082239	239.971954	-118.052605	147.412048
3479.085522	239.738174	-118.111046	147.002914
3479.088881	240.381058	-118.403282	148.230270
3479.092217	240.264175	-118.637062	148.230270
3479.096012	240.731735	-118.169502	148.405609
3479.098945	241.140854	-118.753944	149.165405
3479.102701	241.491516	-118.987724	149.691406
3479.106043	241.199295	-119.104622	151.094101
3479.109343	241.608414	-119.572182	150.918762
3479.112639	242.718872	-119.922844	152.730560
3479.116011	242.777328	-120.857979	153.081238
3479.119395	242.718872	-120.624199	153.315018
3479.122719	243.069550	-121.500877	155.477493
3479.126075	244.238449	-122.260658	156.646408
3479.129366	244.472229	-122.552895	157.347748
3479.132700	245.407364	-123.312691	159.101105
3479.136439	244.822906	-124.072472	159.919342
3479.139758	245.524261	-124.598473	161.088242
3479.143104	245.758041	-124.890709	162.783157
3479.146384	247.277618	-125.942726	164.945648
3479.149729	247.803619	-126.936287	166.582108
3479.152992	248.680313	-127.111641	167.225006
3479.156699	248.855637	-128.455872	170.147278
3479.160031	249.732330	-128.572754	170.848633
3479.163281	251.018127	-129.566345	173.420227
3479.166635	252.303909	-130.501465	175.699585
3479.169927	252.596146	-130.676819	177.862061
3479.173209	253.180603	-131.845703	179.849213
3479.177006	254.232605	-132.137939	181.777908
3479.180260	256.044434	-132.839264	184.758621
3479.183659	257.388672	-132.897736	186.687317
3479.186947	258.089996	-133.949738	188.849792
3479.190257	259.200439	-134.826416	191.888962
3479.193548	260.427795	-135.820007	194.928101
3479.196882	261.655151	-135.936890	196.447693
3479.200671	263.233185	-136.579773	199.369965
3479.203991	263.992981	-136.696655	202.000000
3479.207297	265.161896	-137.982452	205.039154
3479.210624	266.447693	-138.274689	208.019882
3479.213935	267.324402	-138.800690	210.649902
3479.217202	269.545288	-139.443604	213.747513
3479.220545	269.779053	-140.554077	216.903580
3479.224240	271.357117	-141.196960	218.481598
3479.227993	273.227356	-142.307434	221.579193
3479.231364	274.396240	-142.599640	224.969009
3479.234665	275.798950	-144.469910	228.709534
3479.237992	276.909424	-145.229706	232.566910
3479.241330	278.019867	-145.405029	237.067200
3479.244670	279.364105	-146.749268	240.573944
3479.247995	281.292786	-147.625946	244.665100
3479.251327	281.701904	-149.203979	248.171844
3479.254664	283.279968	-150.255981	252.613678
3479.257990	284.448853	-151.600250	258.458221
3479.261322	285.500885	-152.769135	262.783173
3479.264652	286.786682	-153.879608	266.289886
3479.267986	287.546448	-155.808289	271.433075
3479.271326	288.130920	-156.977203	277.394531
3479.274678	289.650513	-158.029205	282.654572
3479.277989	290.819397	-159.607239	287.622437
3479.281321	292.514343	-161.243713	293.759216
3479.284655	293.858551	-162.295746	298.960846
3479.288019	294.384583	-164.107544	304.805389
3479.291746	295.319702	-164.984222	310.357697
3479.295084	297.365295	-165.802460	316.611359
