crossing time (s)	slope (V/s)	crossing number
6931.373299	-43.601164	7881
6932.413454	-50.183924	7882
6933.479306	-54.320890	7883
6934.500484	-40.127839	7884
6935.506118	-41.230241	7885
6936.507344	-45.721324	7886
6937.601678	-50.146928	7887
6938.682156	-43.130675	7888
6939.670809	-39.954306	7889
6940.711194	-40.845201	7890
6941.715649	-44.481630	7891
6942.729162	-40.695614	7892
6943.762071	-41.661123	7893
6944.817497	-38.174135	7894
6945.853770	-38.669713	7895
6946.891408	-36.256755	7896
6947.907240	-38.999330	7897
6948.937951	-39.831186	7898
6949.982529	-38.632175	7899
6950.986379	-36.733001	7900
6952.056025	-37.925647	7901
6953.106618	-40.152837	7902
6954.092546	-40.657082	7903
6955.172696	-33.718771	7904
6956.146146	-33.241635	7905
6957.226658	-37.919513	7906
6958.197524	-35.007203	7907
6959.301571	-31.940472	7908
6960.290552	-32.389439	7909
6961.377895	-33.400105	7910
6962.330976	-35.445431	7911
6963.413458	-32.679746	7912
6964.419341	-32.647425	7913
6965.492417	-31.325993	7914
6966.511906	-28.305067	7915
6967.545776	-30.832041	7916
6968.560664	-30.661617	7917
6969.617099	-30.292411	7918
6970.613393	-29.198387	7919
6971.668420	-29.755210	7920
6972.668468	-28.595062	7921
6973.752955	-28.746870	7922
6974.746809	-29.701845	7923
6975.792507	-29.128671	7924
6976.783324	-29.308986	7925
6977.877769	-27.671839	7926
6978.880950	-25.883703	7927
6979.934670	-26.634494	7928
6980.925389	-28.229082	7929
6982.028857	-25.973150	7930
6983.018991	-25.642756	7931
6984.074423	-25.124948	7932
6985.091682	-26.228649	7933
6986.147681	-24.928211	7934
6987.165762	-24.895272	7935
6988.201502	-24.885783	7936
6989.213636	-23.847954	7937
6990.265596	-23.657697	7938
6991.244824	-22.754629	7939
6992.314121	-21.727499	7940
6993.356126	-23.405318	7941
6994.417862	-27.568403	7942
6995.414437	-21.366564	7943
6996.453020	-23.115158	7944
6997.496935	-22.634247	7945
6998.532650	-20.966333	7946
6999.542362	-20.244299	7947
7000.570184	-21.248173	7948
7001.592268	-22.238815	7949
7002.655259	-18.274964	7950
7003.703594	-21.584866	7951
7004.698175	-19.186811	7952
7005.771823	-20.210094	7953
7006.755338	-20.403197	7954
7007.832074	-17.632284	7955
7008.862698	-17.422631	7956
7009.892409	-19.826369	7957
7010.903139	-17.793163	7958
7011.940987	-16.145747	7959
7012.958013	-18.071960	7960
7014.006185	-16.626893	7961
7015.063629	-20.578323	7962
