crossing time (s)	slope (V/s)	crossing number
4336.754271	-114.319523	3154
4337.834623	-102.339527	3155
4338.828662	-92.921332	3156
4339.871184	-92.517489	3157
4340.923765	-88.517138	3158
4342.010224	-79.057146	3159
4343.052849	-75.105226	3160
4344.074323	-73.935944	3161
4345.091419	-70.131128	3162
4346.135631	-60.566064	3163
4347.201730	-58.774478	3164
4348.238768	-57.832634	3165
4349.307903	-52.347913	3166
4350.340820	-47.689196	3167
4351.346381	-45.849386	3168
4352.434334	-45.300489	3169
4353.501097	-40.471985	3170
4354.498392	-38.720959	3171
4355.532451	-33.885483	3172
4356.629676	-34.798266	3173
4357.599028	-30.935086	3174
4358.662789	-30.856449	3175
4359.681990	-25.245572	3176
4360.719028	-25.121447	3177
4361.804815	-25.294561	3178
4362.819881	-23.526873	3179
4363.885382	-22.018253	3180
4364.909093	-19.109522	3181
4365.986403	-17.670813	3182
4367.028723	-16.760910	3183
4368.049854	-17.590821	3184
4369.104321	-15.221598	3185
4370.144080	-13.864665	3186
4371.191860	-14.078579	3187
4372.219215	-12.461049	3188
4373.275077	-11.124153	3189
4374.286608	-10.833632	3190
4375.355195	-7.085050	3191
4376.410202	-8.397444	3192
4377.459079	-8.693760	3193
4378.507103	-9.456253	3194
4379.563336	-9.847178	3195
4380.580953	-3.903655	3196
4381.635384	-4.529661	3197
4382.678620	-5.180917	3198
4383.711094	-4.897358	3199
4384.728131	-4.090322	3200
4385.790375	-3.617632	3201
4386.851723	-3.243394	3202
4387.879359	-3.798406	3203
4388.922515	-3.003095	3204
4389.953883	-4.620943	3205
4390.997867	-3.574058	3206
4392.030675	-4.847424	3207
4393.107344	-5.922262	3208
4394.146459	-3.990885	3209
4395.195789	-1.590834	3210
4396.237132	-1.796967	3211
4397.262407	-5.816324	3212
4398.287574	-3.215341	3213
4399.338517	-5.314130	3214
4400.410724	-0.706042	3215
4401.443251	-1.915100	3216
4402.487223	1.247683	3217
4403.527570	-1.675786	3218
4404.581165	-7.044314	3219
4405.066068	-4.777719	3220
4405.592324	-0.216290	3221
