time (s)	det(V)
4100.519425	-0.101882	
4100.521021	-0.258673	
4100.522678	-0.114503	
4100.524253	-0.213712	
4100.525945	-0.159479	
4100.527487	-0.230490	
4100.529199	-0.169006	
4100.530736	-0.195162	
4100.532449	-0.162839	
4100.533960	-0.139595	
4100.535714	-0.166541	
4100.537205	-0.156140	
4100.538990	-0.179975	
4100.540483	-0.126834	
4100.542179	-0.174348	
4100.543662	-0.083312	
4100.545349	-0.180342	
4100.546851	-0.062900	
4100.548503	-0.223912	
4100.550043	-0.039580	
4100.551652	-0.155040	
4100.553235	-0.004187	
4100.554823	-0.161356	
4100.556416	-0.016305	
4100.557973	-0.212154	
4100.559599	-0.045635	
4100.561144	-0.126028	
4100.562796	-0.114519	
4100.564289	-0.104094	
4100.565986	-0.066723	
4100.567472	-0.087541	
4100.569217	-0.138475	
4100.570692	-0.078462	
4100.572414	-0.107224	
4100.573897	0.033941	
4100.575524	-0.191335	
4100.577007	-0.003450	
4100.578633	-0.151346	
4100.580160	-0.058670	
4100.581711	-0.124783	
4100.583269	-0.003889	
4100.584762	-0.049534	
4100.586414	-0.012727	
4100.587901	-0.006443	
4100.589535	-0.051061	
4100.591059	0.001597	
4100.592704	-0.057148	
4100.594177	0.001601	
4100.595813	-0.066602	
4100.597290	0.010145	
4100.598929	-0.053772	
4100.600409	0.089942	
4100.602020	-0.061970	
4100.603540	0.039077	
4100.605105	0.012860	
4100.606654	0.058115	
4100.608176	-0.114080	
4100.609804	-0.008949	
4100.611295	-0.006238	
4100.612935	0.038956	
4100.614457	0.046360	
4100.616025	-0.009215	
4100.617509	0.078039	
4100.619057	0.022351	
4100.620564	0.079944	
4100.622124	0.016377	
4100.623654	0.003857	
4100.625138	0.030198	
4100.626714	0.100436	
4100.628232	0.048334	
4100.629816	0.051839	
4100.631317	0.051722	
4100.632888	0.052233	
4100.634403	0.115083	
4100.635986	0.021787	
4100.637468	0.056221	
4100.639040	0.104017	
4100.640537	0.043766	
4100.642092	0.028124	
4100.643612	0.090196	
4100.645113	0.086579	
4100.646677	0.042078	
4100.648202	0.120453	
4100.649766	0.113125	
4100.651285	0.110551	
4100.652847	0.044213	
4100.654377	0.119345	
4100.655910	0.113105	
4100.657452	0.126830	
4100.658977	0.101302	
4100.660547	0.088158	
4100.662054	0.116783	
4100.663618	0.079050	
4100.665140	0.053269	
4100.666729	0.139954	
4100.668233	0.113826	
4100.669756	0.115474	
4100.671315	0.165602	
4100.672830	0.129400	
4100.674403	0.127498	
4100.675928	0.104799	
4100.677503	0.110600	
4100.679001	0.181567	
4100.680572	0.090663	
4100.682090	0.125871	
4100.683671	0.124425	
4100.685174	0.183818	
4100.686739	0.084129	
4100.688273	0.200822	
4100.689786	0.182972	
4100.691343	0.121867	
4100.692866	0.176729	
4100.694453	0.146959	
4100.695947	0.166082	
4100.697517	0.165421	
4100.699038	0.239506	
4100.700615	0.189796	
4100.702120	0.254757	
4100.703677	0.199811	
4100.705205	0.235856	
4100.706757	0.202240	
4100.708283	0.221314	
4100.709792	0.246761	
4100.711368	0.178827	
4100.712869	0.262338	
4100.714447	0.272018	
4100.715976	0.289445	
4100.717562	0.266632	
4100.719047	0.300708	
4100.720597	0.241677	
4100.722117	0.247841	
4100.723683	0.279100	
4100.725206	0.277167	
4100.726758	0.324842	
4100.728310	0.288390	
4100.729803	0.281590	
4100.731370	0.242241	
4100.732894	0.308394	
4100.734490	0.276031	
4100.735980	0.377557	
4100.737546	0.306867	
4100.739064	0.407471	
4100.740624	0.289336	
4100.742149	0.362197	
4100.743720	0.325732	
4100.745257	0.364597	
4100.746748	0.321386	
4100.748557	0.224363	
4100.750076	0.424200	
4100.751797	0.283753	
4100.753324	0.364376	
4100.755030	0.291963	
4100.756580	0.461922	
4100.758259	0.248542	
4100.759826	0.480496	
4100.761491	0.286927	
4100.763081	0.423475	
4100.764755	0.299169	
4100.766337	0.564180	
4100.767973	0.351404	
4100.769570	0.570787	
4100.771195	0.386076	
4100.772835	0.524014	
4100.774437	0.406891	
4100.776128	0.509633	
4100.777711	0.436672	
4100.779386	0.625910	
4100.780979	0.419125	
4100.782633	0.601289	
4100.784199	0.516094	
4100.785925	0.580004	
4100.787476	0.574066	
4100.789190	0.673477	
4100.790725	0.576459	
4100.792444	0.667096	
