crossing time (s)	slope (V/s)	crossing number
4100.073519	-49.570907	4866
4101.135496	-48.896852	4867
4102.122372	-48.500575	4868
4103.201075	-53.924213	4869
4104.175869	-50.660501	4870
4104.744771	-2.969526	4871
4105.203361	-51.458604	4872
4106.234827	-46.911791	4873
4107.315436	-44.688184	4874
4108.315155	-43.972291	4875
4109.324938	-45.330673	4876
4110.404205	-51.059631	4877
4111.458443	-47.101113	4878
4112.463912	-45.376999	4879
4113.499309	-43.333173	4880
4114.495314	-41.761948	4881
4115.559951	-41.140675	4882
4116.066248	3.589480	4883
4116.590152	-47.649718	4884
4117.619387	-41.522951	4885
4118.628597	-42.731101	4886
4119.671641	-38.098015	4887
4120.740470	-37.294488	4888
4121.727605	-38.647241	4889
4122.710323	-38.388258	4890
4123.821776	-38.600491	4891
4124.822986	-38.117111	4892
4125.901079	-35.789902	4893
4126.902997	-37.207181	4894
4127.953507	-36.681263	4895
4128.957576	-39.069306	4896
4129.988185	-37.643795	4897
4130.551068	0.568692	4898
4131.001633	-36.011570	4899
4132.026677	-33.358076	4900
4133.096513	-33.085035	4901
4134.092776	-33.717477	4902
4135.113010	-33.883853	4903
4136.195298	-32.914342	4904
4137.209298	-32.800231	4905
4138.275470	-31.961455	4906
4139.244776	-31.190995	4907
4140.313344	-28.928815	4908
4141.330884	-30.367581	4909
4142.393767	-34.430728	4910
4143.400511	-30.607276	4911
4144.434266	-29.368632	4912
4145.459422	-27.526442	4913
4146.487836	-28.712555	4914
4147.514397	-28.556897	4915
4148.580034	-29.231515	4916
4149.615768	-25.169090	4917
4150.646975	-25.099123	4918
4151.138733	4.996650	4919
4151.616289	-30.675199	4920
4152.680971	-24.824769	4921
4153.719990	-27.000075	4922
4154.728216	-23.989448	4923
4155.737965	-25.936785	4924
4156.862164	-26.018560	4925
4157.864018	-24.552398	4926
4158.889800	-25.311351	4927
4159.900377	-24.479215	4928
4160.928630	-23.818831	4929
4161.965606	-24.271220	4930
4162.995349	-26.955438	4931
4164.039181	-22.012015	4932
4165.053657	-22.385602	4933
4166.091513	-21.917530	4934
4167.142343	-23.242126	4935
4168.131360	-21.409064	4936
4169.178200	-23.955823	4937
4170.260961	-21.632492	4938
4171.238359	-21.945950	4939
4172.297144	-19.901181	4940
4173.331009	-19.942420	4941
4174.331518	-22.832449	4942
4175.369496	-22.200982	4943
4176.384807	-20.278099	4944
4177.455544	-17.257504	4945
4178.466398	-19.804234	4946
4179.490807	-17.161979	4947
4180.558547	-23.280457	4948
4181.556220	-19.288430	4949
4182.582117	-19.097712	4950
4183.608004	-16.591673	4951
4184.642209	-15.620085	4952
4185.693691	-16.486239	4953
4186.714625	-17.067150	4954
4187.782174	-16.798545	4955
4188.788117	-17.026993	4956
4189.803279	-14.688509	4957
4190.313198	8.536546	4958
4190.835537	-13.572894	4959
4191.889115	-14.558417	4960
4192.864643	-15.872120	4961
4193.981925	-19.593851	4962
4194.512989	2.418275	4963
4194.985846	-15.221030	4964
4196.010972	-16.060691	4965
4197.020845	-15.834556	4966
4198.066808	-14.703242	4967
4199.069874	-13.301959	4968
4200.115530	-13.779133	4969
4201.131642	-12.294018	4970
4202.201769	-14.975889	4971
4203.200537	-14.408673	4972
4204.248896	-13.695651	4973
4205.259825	-12.263169	4974
4206.340408	-13.755611	4975
4207.281119	-13.246898	4976
4207.834066	7.348427	4977
4208.342379	-14.932799	4978
4209.397452	-16.356616	4979
4210.482822	-16.411532	4980
4211.473369	-12.352516	4981
