time (s)	det(V)
6315.649149	0.625359	
6315.650656	0.670626	
6315.652275	0.696806	
6315.653775	0.731357	
6315.655349	0.782980	
6315.656876	0.763031	
6315.658462	0.807802	
6315.659953	0.854772	
6315.661517	0.839638	
6315.663040	0.932019	
6315.664592	0.930887	
6315.666146	0.920349	
6315.667641	0.991840	
6315.669228	1.035958	
6315.670738	1.010749	
6315.672332	1.020473	
6315.673819	1.108593	
6315.675391	1.125004	
6315.676918	1.178633	
6315.678498	1.176627	
6315.680039	1.254180	
6315.681551	1.227122	
6315.683144	1.260734	
6315.684660	1.301090	
6315.686225	1.406185	
6315.687721	1.423595	
6315.689320	1.459290	
6315.690808	1.475098	
6315.692381	1.476789	
6315.693903	1.521822	
6315.695497	1.526442	
6315.696982	1.526886	
6315.698554	1.526801	
6315.700083	1.526865	
6315.701607	1.527002	
6315.703178	1.526886	
6315.704659	1.526982	
6315.706273	1.526994	
6315.707770	1.526906	
6315.709397	1.526942	
6315.710888	1.526970	
6315.712483	1.527034	
6315.713975	1.527083	
6315.715542	1.526906	
6315.717050	1.526970	
6315.718603	1.526974	
6315.720155	1.526966	
6315.721671	1.527083	
6315.723215	1.527095	
6315.724724	1.527006	
6315.726324	1.527006	
6315.727816	1.526946	
6315.729401	1.526954	
6315.730925	1.526990	
6315.732585	1.527188	
6315.734206	1.526813	
6315.735806	1.527171	
6315.737476	1.526950	
6315.739058	1.527204	
6315.740745	1.526901	
6315.742333	1.526962	
6315.744029	1.526930	
6315.745609	1.527014	
6315.747293	1.526978	
6315.748848	1.527115	
6315.750568	1.527035	
6315.752115	1.527026	
6315.753852	1.526974	
6315.755386	1.527119	
6315.757122	1.527111	
6315.758625	1.527019	
6315.760374	1.526950	
6315.761863	1.527014	
6315.763671	1.526998	
6315.765147	1.527135	
6315.766946	1.527059	
6315.768428	1.527026	
6315.770216	1.527127	
6315.771698	1.526877	
6315.773463	1.527103	
6315.774951	1.526986	
6315.776709	1.527099	
6315.778218	1.526809	
6315.779876	1.527123	
6315.781403	1.526914	
6315.783034	1.527139	
6315.784593	1.526869	
6315.786196	1.527276	
6315.787790	1.526877	
6315.789344	1.526970	
