time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6097.668534	146.317154	-0.851423	-0.015910	211
6099.736407	145.988083	-0.841404	-0.015306	213
6101.809636	145.503586	-0.833134	-0.015655	215
6103.881023	145.156296	-0.822874	-0.016368	217
6105.416637	47.456276	-0.025989	-0.100000	219
6106.951593	326.440369	-0.813261	-0.016613	221
6109.014998	326.396301	-0.800141	-0.017135	223
6111.079878	326.209839	-0.791019	-0.017301	225
6113.146875	325.992645	-0.780517	-0.017476	227
6115.211349	325.890594	-0.770582	-0.017943	229
6117.276703	325.808441	-0.762493	-0.017765	231
6119.343853	325.754395	-0.752355	-0.018523	233
6121.407029	325.727600	-0.744441	-0.018105	235
6123.469928	325.702087	-0.735448	-0.018555	237
6125.041390	228.247238	-0.023927	-0.100000	239
6126.606718	145.850433	-0.721595	-0.018630	241
6128.671102	145.844131	-0.714624	-0.018611	243
6130.727895	145.804993	-0.709424	-0.018670	245
6132.789396	145.593811	-0.702696	-0.018606	247
6134.849124	145.401215	-0.692017	-0.019038	249
6136.905941	145.278748	-0.681837	-0.019417	251
6138.966564	145.170868	-0.670423	-0.019752	253
6141.036367	145.229111	-0.661230	-0.020340	255
6143.105953	145.250702	-0.654643	-0.020711	1
6145.178282	145.253448	-0.644682	-0.020685	3
6147.247389	145.304047	-0.636289	-0.020875	5
6149.316018	145.377548	-0.627567	-0.020993	7
6151.387080	145.404922	-0.619662	-0.020777	9
6153.453793	145.367905	-0.610909	-0.020975	11
6155.008468	46.038143	-0.021970	-0.100000	13
6156.509687	326.106689	-0.601046	-0.021440	15
6158.575669	326.139954	-0.593744	-0.021392	17
6160.640075	326.209717	-0.587944	-0.021697	19
6162.707556	326.095062	-0.580722	-0.021373	21
6164.775558	326.020813	-0.573148	-0.021454	23
6166.841991	325.805389	-0.566348	-0.021546	25
6168.918582	325.475861	-0.559059	-0.021517	27
6170.988879	325.177704	-0.551970	-0.021632	29
6173.058291	325.032806	-0.543772	-0.021639	31
6175.126911	324.913605	-0.537488	-0.021667	33
6177.190717	325.015930	-0.531243	-0.021633	35
6179.250408	325.310059	-0.527626	-0.021723	37
6181.307696	325.728699	-0.521877	-0.021649	39
6183.363415	326.198761	-0.516772	-0.021550	41
6185.424095	326.617645	-0.508253	-0.021411	43
6187.482243	326.849884	-0.501264	-0.021615	45
6189.540605	326.937561	-0.492901	-0.021618	47
6191.607224	326.925354	-0.485760	-0.021599	49
6193.670713	326.798370	-0.478936	-0.021698	51
6195.739521	326.713257	-0.471750	-0.021595	53
6197.799191	326.649963	-0.466566	-0.021590	55
6199.866568	326.497406	-0.459095	-0.021541	57
6201.932478	326.451660	-0.452576	-0.021514	59
6203.993366	326.409241	-0.447492	-0.021592	61
6206.064653	326.336182	-0.440922	-0.021230	63
6208.133511	326.331085	-0.434465	-0.021509	65
6210.208847	326.295044	-0.428241	-0.021532	67
6212.282054	326.303772	-0.422576	-0.021651	69
6214.350052	326.257690	-0.417543	-0.021619	71
6216.419643	326.212189	-0.411596	-0.021442	73
6218.492950	326.109863	-0.409494	-0.021312	75
6220.551644	326.047150	-0.404787	-0.021307	77
6222.618248	325.925842	-0.402742	-0.021234	79
6224.668999	325.865051	-0.398362	-0.021270	81
6226.735747	325.739014	-0.393846	-0.021178	83
6228.788025	325.808044	-0.387769	-0.021287	85
