time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3736.648333	326.342957	-0.949860	-0.004341	87
3738.713559	326.337738	-0.937780	-0.005123	89
3740.780774	146.248474	0.927345	0.005235	91
3742.841646	326.247040	-0.918793	-0.005777	93
3744.899137	326.609955	-0.909609	-0.006357	95
3746.961904	327.017456	-0.894488	-0.006345	97
3749.023484	326.960937	-0.876523	-0.006307	99
3751.089697	329.995361	-0.387492	0.100000	101
3752.136725	144.499817	-0.412138	0.013286	103
3754.195205	146.954727	-0.849917	-0.007465	105
3756.260151	146.945587	-0.834786	-0.007198	107
3758.324962	146.592667	-0.823303	-0.007401	109
3760.390542	146.486252	-0.813845	-0.007785	111
3762.453664	146.442703	-0.804199	-0.008478	113
3764.517396	146.414505	-0.793204	-0.008718	115
3766.581812	146.343094	-0.781898	-0.009197	117
3768.644445	146.326126	-0.772600	-0.009408	119
3770.704120	146.337631	-0.762529	-0.009480	121
3772.268418	49.846569	-0.012034	-0.100000	123
3773.781077	326.632812	-0.748709	-0.009751	125
3775.841822	326.639160	-0.739193	-0.009932	127
3777.399534	224.721878	-0.012069	-0.100000	129
3778.955703	146.445251	-0.722115	-0.010369	131
3781.021206	146.493774	-0.712506	-0.010757	133
3782.576193	50.605148	-0.012387	-0.100000	135
3784.091947	326.695496	-0.700241	-0.010790	137
3786.155049	326.794769	-0.689990	-0.011315	139
3788.214337	326.835846	-0.680222	-0.011242	141
3790.280321	326.862152	-0.669169	-0.011517	143
3792.344809	326.820770	-0.660551	-0.011439	145
3794.407885	326.830414	-0.650510	-0.011652	147
3796.471899	326.962219	-0.641122	-0.011999	149
3798.537609	327.158081	-0.632604	-0.012183	151
3800.601753	327.195953	-0.625861	-0.012162	153
3802.660142	327.042969	-0.619109	-0.012079	155
3804.719122	326.811554	-0.610057	-0.012221	157
3806.783239	326.698364	-0.599873	-0.012604	159
3808.843802	326.724213	-0.591334	-0.012756	161
3810.903867	326.810089	-0.581685	-0.012937	163
3812.966448	326.891418	-0.573509	-0.013153	165
3815.025969	315.301514	-0.325099	-0.072181	167
3816.086612	154.373337	-0.314642	-0.048949	169
3818.155071	146.655670	-0.550792	-0.013367	171
3820.214449	146.555130	-0.543814	-0.013476	173
3822.276876	146.504166	-0.535771	-0.013609	175
3824.339095	146.470291	-0.529517	-0.013524	177
3826.404115	146.493011	-0.523217	-0.013888	179
3828.463275	146.566315	-0.515969	-0.014066	181
3830.521551	146.706757	-0.507536	-0.014133	183
3832.579269	146.973892	-0.499314	-0.014212	185
3834.645045	147.157532	-0.490989	-0.014144	187
3836.704404	147.159927	-0.482974	-0.014068	189
3838.769085	147.016769	-0.474598	-0.014098	191
3840.837213	146.844742	-0.467814	-0.014436	193
3842.896950	146.758163	-0.461467	-0.014518	195
3844.962075	146.785950	-0.454379	-0.014698	197
3847.034017	146.819824	-0.448592	-0.014613	199
3849.096877	146.791763	-0.441374	-0.014631	201
3851.156694	146.754761	-0.434216	-0.014827	203
3853.223271	146.697281	-0.427469	-0.014944	205
3855.281800	146.745773	-0.420540	-0.015090	207
3857.343162	146.797104	-0.415576	-0.015109	209
3859.406436	146.849014	-0.409680	-0.014954	211
3861.473198	146.987991	-0.403657	-0.015097	213
