time (s)	magX	magY	magZ
4755.704121	155.587952	414.932770	713.876099
4755.707622	155.354172	408.796021	731.760315
4755.710873	155.821747	402.016357	749.936890
4755.714612	155.821747	394.944458	769.165344
4755.717927	155.880188	387.288116	788.393921
4755.721254	155.529526	378.346008	805.693787
4755.724629	156.055527	368.994751	823.753418
4755.728005	156.289307	358.883698	842.572693
4755.731292	155.529526	348.597290	860.106384
4755.734604	155.237289	337.200470	878.282898
4755.737935	154.419052	325.452942	896.751648
4755.741222	153.893051	312.887207	914.226746
4755.744693	153.893051	299.678558	930.240784
4755.747983	153.133255	285.768555	947.540588
4755.751338	152.315018	271.215668	964.197571
4755.755101	151.263000	256.545898	979.276428
4755.758499	149.918762	241.466980	994.764465
4755.761772	149.042084	225.277603	1009.375793
4755.765104	147.931625	208.796021	1024.279419
4755.768398	146.178268	192.022202	1038.130981
4755.771760	144.541794	174.547043	1050.170654
4755.775071	142.554642	156.838104	1063.028687
4755.778435	140.918182	138.778488	1074.776123
4755.781733	138.171249	120.017532	1084.653442
4755.785492	135.891876	101.198135	1095.699707
4755.788811	133.320282	82.495621	1105.167725
4755.792091	129.988892	62.507309	1114.109863
4755.795522	126.073059	43.687904	1121.766235
4755.798803	123.033905	24.225599	1128.662720
4755.802089	119.293396	3.652835	1134.098267
4755.805431	114.968445	-16.101694	1139.650513
4755.808760	110.175926	-35.680885	1143.566406
4755.812117	105.324959	-55.435417	1146.722412
4755.815479	100.883110	-75.131500	1148.534180
4755.819183	95.798363	-94.886024	1149.586304
4755.822478	90.888954	-115.049675	1149.410889
4755.825793	85.161308	-134.044418	1147.599121
4755.829098	80.135010	-152.688492	1145.319702
4755.832437	75.050262	-171.917007	1142.455933
4755.835827	69.965515	-190.035080	1138.072510
4755.839149	64.120987	-207.977783	1132.228027
4755.842428	58.627121	-224.693176	1126.500366
4755.846259	52.198132	-241.876099	1118.493408
4755.849941	47.347168	-259.585052	1110.135620
4755.853237	42.145531	-274.897736	1099.966187
4755.856573	37.411457	-290.970184	1088.218628
4755.859903	32.326714	-305.230865	1077.464722
4755.863242	27.592638	-319.608429	1065.717163
4755.866574	22.975452	-333.401520	1050.872070
4755.869904	18.708942	-346.843964	1037.020508
4755.873238	14.851551	-358.533020	1022.526062
4755.876592	11.344830	-370.163635	1008.031555
4755.879907	6.844540	-380.742249	991.842224
4755.883235	3.279369	-390.794830	975.068420
4755.886570	-0.110458	-400.496796	958.645203
4755.889902	-3.500290	-409.146667	941.111572
4755.893277	-7.007008	-417.153748	922.876648
4755.896571	-10.279957	-424.225616	905.752197
4755.899907	-12.383984	-431.180603	887.049683
4755.903235	-15.598476	-437.960297	868.171814
4755.906570	-18.053188	-442.226776	849.469299
4755.910327	-20.741673	-447.603729	830.416138
4755.913652	-23.254818	-451.519592	813.233215
4755.917022	-25.826412	-456.195190	794.764465
4755.920349	-28.222675	-459.643494	775.769714
4755.923691	-30.618938	-463.384003	758.352966
4755.927051	-33.073643	-466.364716	739.358276
4755.930343	-35.177670	-467.299835	721.473938
4755.933661	-36.989483	-468.877838	703.297485
4755.937035	-39.502628	-469.403870	685.471680
4755.940323	-41.782001	-470.046753	667.821167
4755.943655	-44.119808	-470.572754	650.579773
4755.947440	-46.165394	-470.923462	633.046204
4755.950775	-47.568081	-470.397430	616.272339
4755.954154	-49.321445	-469.228546	598.914062
4755.957500	-51.250149	-468.468750	581.906494
4755.960785	-52.477489	-466.715363	566.593750
4755.964074	-54.581532	-464.728241	550.112183
4755.967420	-56.334888	-463.384003	532.695496
4755.970762	-57.270016	-459.701904	517.382812
4755.974122	-58.555820	-457.013458	502.479248
4755.977499	-59.432499	-454.558746	487.341919
4755.980870	-60.367619	-451.227356	472.438293
4755.984156	-61.478077	-448.714203	458.469910
4755.987854	-62.179424	-445.441284	444.267700
4755.991207	-62.705433	-441.817657	430.474548
4755.994579	-63.406780	-438.194031	417.616577
4755.997910	-63.289890	-434.745789	403.706573
4756.001266	-63.523678	-430.128571	391.549957
4756.004625	-63.582111	-426.388062	379.042664
4756.007953	-63.991238	-423.290497	366.769165
4756.011246	-64.283447	-418.205719	355.664520
4756.014631	-63.757458	-414.757446	345.378143
4756.017915	-64.108124	-410.374054	334.156616
4756.021292	-63.406780	-406.165985	324.104034
4756.025058	-63.231441	-401.957947	314.343658
4756.028418	-62.588535	-398.217438	304.641724
4756.031705	-62.354755	-393.658691	295.816467
4756.035037	-61.478077	-390.035034	286.932800
4756.038431	-61.302746	-385.067230	277.815308
4756.041728	-61.361195	-380.859161	269.223846
4756.045061	-60.776737	-376.358856	261.567505
4756.048355	-60.192287	-372.676788	254.554047
4756.051706	-59.607830	-368.468719	246.371704
4756.055067	-59.490940	-365.429596	238.949158
4756.058369	-59.549381	-360.461731	232.111023
4756.062122	-59.257160	-356.487427	225.623596
4756.065450	-59.140263	-352.337830	218.668610
4756.068734	-59.198711	-348.188202	212.414978
4756.072031	-59.023380	-344.798370	207.271759
4756.075374	-58.088253	-340.005829	200.199890
4756.078761	-58.438923	-336.557556	194.998260
4756.082100	-58.205143	-332.291077	189.621277
4756.085406	-58.029804	-328.667450	184.594971
4756.088839	-58.263592	-325.043823	179.159576
4756.092155	-58.029804	-321.653992	175.068359
4756.095921	-57.679127	-317.971954	169.983643
4756.099222	-57.503796	-314.582123	165.424896
4756.102554	-56.977787	-310.432495	160.866150
4756.105895	-57.445347	-307.101135	156.248962
4756.109220	-56.977787	-303.945068	151.339569
4756.112531	-57.094685	-300.321442	147.248413
4756.115866	-56.744007	-296.931610	143.566345
4756.119179	-56.627117	-293.658691	139.416718
4756.122586	-55.984226	-290.619537	135.968445
4756.125920	-55.808880	-287.463470	132.111053
4756.129216	-55.575100	-284.190521	128.896545
4756.132964	-55.458210	-281.092926	125.915840
4756.136542	-54.581532	-277.703125	122.116890
4756.139881	-54.581532	-274.956177	119.136177
4756.143242	-53.704845	-272.793701	116.097023
4756.146542	-53.704845	-269.812988	112.882530
4756.149879	-52.945057	-266.481598	109.434258
4756.153207	-52.711269	-264.611359	107.271767
4756.156548	-52.126827	-262.039734	104.291069
4756.159876	-51.659260	-260.111053	102.303917
4756.163214	-50.665691	-257.714783	100.024544
4756.166543	-50.548801	-255.727631	98.271187
4756.169877	-50.724140	-253.506714	96.634712
4756.173212	-50.548801	-250.935150	94.180016
4756.176540	-50.373463	-248.597321	92.017540
4756.179870	-49.555233	-247.253082	90.322624
4756.183201	-49.321445	-245.382812	88.569252
4756.186598	-48.620106	-242.869690	87.458794
4756.190299	-48.561657	-241.291656	84.828758
4756.193654	-48.327877	-240.122742	83.659843
4756.196970	-48.152546	-237.726486	82.315605
4756.200292	-47.860310	-236.732910	80.971367
4756.203629	-47.743427	-235.154877	79.802467
4756.206958	-47.100521	-233.401535	78.691994
4756.210295	-47.451199	-231.531281	77.464653
4756.213629	-47.392750	-230.537689	75.769722
4756.216985	-47.568081	-228.842804	74.016365
4756.220309	-47.684978	-228.083008	72.905907
4756.224131	-47.451199	-226.154297	71.795448
4756.227391	-47.743427	-224.693176	71.503212
4756.230762	-47.568081	-223.933380	70.392754
4756.234042	-47.626530	-222.355362	69.574516
4756.237433	-47.217419	-221.361771	67.879601
4756.240746	-47.509647	-220.602005	66.827583
4756.244126	-47.509647	-219.023956	65.366455
4756.247456	-47.684978	-218.030396	64.606659
4756.250775	-47.626530	-217.153702	63.963768
4756.254047	-47.100521	-216.160141	63.320869
4756.257830	-48.152546	-215.049683	62.151962
4756.261229	-47.684978	-214.348328	61.684402
4756.264543	-47.451199	-213.530106	60.807709
4756.267906	-47.451199	-212.302750	60.398598
4756.271252	-48.035648	-212.068985	59.989479
4756.274552	-47.217419	-211.367630	58.995911
4756.277862	-46.691410	-210.549393	57.885452
4756.281248	-47.334301	-209.497375	57.710121
4756.284549	-46.983639	-209.029816	57.710121
4756.287871	-47.509647	-208.562241	56.774994
4756.291211	-46.574520	-208.445343	56.015198
4756.294568	-46.632961	-207.919357	55.606071
4756.297946	-46.749851	-207.159561	55.956749
4756.301303	-47.100521	-207.042664	55.138512
4756.305021	-46.925190	-207.510223	54.320282
4756.308288	-46.866741	-207.042664	55.839851
4756.311606	-47.158970	-206.925797	54.904732
4756.314930	-46.574520	-207.159561	55.255409
4756.318307	-46.399174	-206.692001	55.021629
4756.321680	-46.632961	-207.101120	54.846291
4756.325000	-46.925190	-207.393356	54.787842
4756.328735	-46.808300	-207.334900	54.787842
4756.332100	-46.574520	-207.276459	55.606071
4756.335394	-47.158970	-206.808899	56.190529
4756.338793	-47.509647	-207.451782	56.424316
