crossing time (s)	slope (V/s)	crossing number
5154.048755	-69.144675	5983
5155.100346	-54.396187	5984
5156.107444	-45.995999	5985
5157.109464	-41.474901	5986
5158.198204	-46.056058	5987
5159.225413	-39.932220	5988
5160.245567	-35.214605	5989
5161.277164	-42.646138	5990
5162.337317	-32.034760	5991
5163.335589	-28.358401	5992
5164.358768	-28.198397	5993
5165.407739	-24.446014	5994
5166.397726	-22.495227	5995
5167.483781	-21.310851	5996
5168.563559	-21.093591	5997
5169.593323	-18.792706	5998
5170.593828	-16.206369	5999
5171.633774	-16.192901	6000
5172.635461	-14.511279	6001
5173.713224	-13.723967	6002
5174.716600	-11.068623	6003
5175.786603	-10.286059	6004
5176.770358	-8.532606	6005
5177.883245	-7.382131	6006
5178.814256	-7.525247	6007
5179.943861	-7.003072	6008
5180.851853	-5.482212	6009
5182.014136	-4.389354	6010
