time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6739.208616	145.577789	-0.890244	0.034687	19
6741.278881	145.183746	-0.882571	0.033456	21
6743.347099	145.303391	-0.871216	0.033109	23
6745.414022	145.403214	-0.861289	0.032384	25
6747.478644	145.409882	-0.851999	0.032529	27
6749.539652	145.272491	-0.842054	0.032278	29
6751.606666	145.202774	-0.832883	0.031620	31
6753.668344	145.208145	-0.821846	0.031512	33
6755.737561	145.223099	-0.809434	0.030484	35
6757.802271	145.338959	-0.798995	0.030020	37
6759.874228	145.678513	-0.786216	0.029467	39
6761.941036	146.072311	-0.777441	0.028851	41
6764.007702	146.261581	-0.770183	0.028818	43
6766.069918	145.854721	-0.763119	0.028817	45
6768.127593	145.175903	-0.753419	0.028117	47
6770.186358	144.610870	-0.741529	0.027599	49
6772.249306	144.251526	-0.729191	0.026477	51
6774.318173	144.436462	-0.716425	0.025193	53
6776.394508	145.230057	-0.704516	0.024890	55
6778.467726	146.098068	-0.696394	0.025239	57
6780.531230	146.205353	-0.692510	0.025254	59
6782.595496	145.681168	-0.687068	0.024730	61
6784.655124	145.157318	-0.678474	0.023921	63
6786.710269	144.857651	-0.667966	0.023245	65
6788.776423	144.723846	-0.658457	0.022639	67
6790.837337	144.772812	-0.649318	0.022025	69
6792.904130	144.786163	-0.639152	0.021632	71
6794.968492	144.864578	-0.632357	0.020945	73
6797.032736	144.992157	-0.624557	0.020630	75
6799.096094	145.155533	-0.614760	0.020190	77
6801.165271	145.218597	-0.605734	0.019873	79
6803.235005	145.260696	-0.596016	0.019556	81
6805.302229	145.169968	-0.587932	0.019320	83
6807.376838	145.001160	-0.580652	0.018968	85
6809.450114	144.854401	-0.574007	0.018535	87
6811.515816	144.726700	-0.566184	0.017927	89
6813.582732	144.657150	-0.561422	0.017241	91
6815.636238	144.669189	-0.557034	0.016613	93
6817.696205	144.899277	-0.550736	0.016018	95
6819.752909	145.254318	-0.543019	0.015723	97
6821.812747	145.541687	-0.531175	0.015578	99
6823.885418	145.423813	-0.520330	0.015504	101
6825.953544	145.240067	-0.512670	0.015107	103
6828.024445	145.093613	-0.504993	0.014536	105
6830.099210	145.018570	-0.498599	0.014072	107
6832.166651	145.086548	-0.491509	0.013560	109
6834.230949	145.182449	-0.484434	0.013094	111
6836.296600	145.267395	-0.478290	0.012739	113
