time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5064.987811	152.490829	-0.972243	0.044481	247
5067.049693	151.884689	-0.895312	0.042143	249
5069.117590	151.522888	-0.821192	0.040403	251
5071.189239	151.679581	-0.755083	0.038030	253
5073.263389	152.104523	-0.691844	0.035448	255
5075.339540	152.485138	-0.634900	0.033078	1
5077.411757	152.873779	-0.582029	0.030623	3
5079.485192	153.071976	-0.534090	0.028152	5
5081.555953	153.169754	-0.489190	0.025935	7
5083.625285	153.112823	-0.447669	0.023584	9
5085.689730	152.898148	-0.410674	0.021531	11
5087.756906	152.713821	-0.378040	0.019530	13
5089.814869	152.630920	-0.347285	0.017880	15
5091.873953	152.687744	-0.318181	0.016037	17
