time (s)	det(V)
1759.308689	0.036607	
1759.310196	0.072000	
1759.311751	0.076254	
1759.313271	0.107796	
1759.314809	0.052008	
1759.316340	0.051838	
1759.317853	0.027939	
1759.319415	0.069120	
1759.320925	0.016530	
1759.322505	0.142306	
1759.323998	0.111530	
1759.325588	0.048584	
1759.327102	0.061861	
1759.328694	0.088694	
1759.330192	0.162480	
1759.331808	-0.022569	
1759.333490	0.116038	
1759.335061	0.056628	
1759.336753	0.082442	
1759.338318	0.075513	
1759.340023	0.199098	
1759.341579	0.100364	
1759.343291	0.131970	
1759.344830	0.163753	
1759.346552	0.212504	
1759.348045	0.112634	
1759.349797	0.167125	
1759.351284	0.169570	
1759.353047	0.171794	
1759.354530	0.231365	
1759.356302	0.190421	
1759.357791	0.304072	
1759.359574	0.181985	
1759.361057	0.316282	
1759.362811	0.220972	
1759.364315	0.344883	
1759.366045	0.196262	
1759.367562	0.427210	
1759.369283	0.239244	
1759.370836	0.360359	
1759.372540	0.263946	
1759.374083	0.427951	
1759.375762	0.280526	
1759.377326	0.493520	
1759.379004	0.299967	
1759.380588	0.448382	
1759.382250	0.264506	
1759.383850	0.455404	
1759.385473	0.303725	
1759.387094	0.491505	
1759.388641	0.439383	
1759.390312	0.507562	
1759.391804	0.456237	
1759.393482	0.486309	
1759.394966	0.537416	
1759.396695	0.499747	
1759.398166	0.535712	
1759.399894	0.488617	
1759.401381	0.584705	
1759.403086	0.517041	
1759.404567	0.669968	
1759.406270	0.584729	
1759.407751	0.698307	
1759.409411	0.572197	
1759.410927	0.710445	
1759.412543	0.611175	
1759.414096	0.722707	
1759.415697	0.661630	
1759.417268	0.827101	
1759.418854	0.735992	
1759.420450	0.809336	
1759.421990	0.826481	
1759.423656	0.845486	
1759.425153	0.884794	
1759.426862	0.938182	
1759.428358	1.021427	
1759.430017	1.047510	
1759.431494	1.132016	
1759.433124	1.033484	
1759.434608	1.193352	
1759.436220	1.166628	
1759.437711	1.288388	
1759.439300	1.254659	
1759.440831	1.415920	
1759.442374	1.395046	
1759.443996	1.419071	
1759.445483	1.426487	
1759.447124	1.426922	
1759.448627	1.426769	
1759.450266	1.426922	
1759.451747	1.427063	
1759.453392	1.427067	
1759.454863	1.426861	
1759.456500	1.427079	
1759.457989	1.427055	
1759.459525	1.426986	
1759.461077	1.427075	
1759.462578	1.426978	
1759.464146	1.427067	
1759.465679	1.427196	
1759.467274	1.427027	
1759.468762	1.427055	
1759.470327	1.427059	
1759.471840	1.426889	
1759.473426	1.427035	
1759.474904	1.427083	
1759.476461	1.427208	
1759.477949	1.427123	
1759.479480	1.427103	
1759.481021	1.426978	
1759.482518	1.427107	
1759.484087	1.426982	
1759.485606	1.427006	
1759.487206	1.427115	
1759.488709	1.427030	
1759.490264	1.426962	
1759.491766	1.426938	
1759.493312	1.426986	
1759.494814	1.427043	
1759.496363	1.427099	
1759.497879	1.427204	
1759.499400	1.427027	
1759.500991	1.427067	
1759.502482	1.427006	
1759.504041	1.427034	
1759.505573	1.427151	
1759.507122	1.427039	
1759.508654	1.427006	
1759.510189	1.427204	
1759.511731	1.427055	
1759.513242	1.427034	
1759.514811	1.426990	
1759.516333	1.427067	
1759.517924	1.427184	
1759.519416	1.427179	
1759.520980	1.427034	
1759.522501	1.427022	
1759.524063	1.427119	
1759.525593	1.427123	
1759.527155	1.427191	
1759.528687	1.427055	
1759.530200	1.427131	
1759.531771	1.426934	
1759.533292	1.427095	
1759.534863	1.427087	
1759.536347	1.427006	
1759.537937	1.427050	
1759.539443	1.427006	
1759.541020	1.427139	
1759.542538	1.427123	
1759.544080	1.427176	
1759.545633	1.426994	
1759.547146	1.427071	
