time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5620.323951	327.071625	-0.886399	0.005986	215
5622.399439	328.188446	-0.876260	0.006004	217
5624.468401	328.653046	-0.874465	0.007620	219
5626.531119	326.566742	-0.393570	0.100000	221
5627.568372	142.809631	-0.393222	0.035933	223
5629.642828	148.253754	-0.840916	0.005733	225
5631.711080	148.525955	-0.839292	0.006745	227
5633.769165	147.967957	-0.836298	0.006889	229
5635.825352	147.287521	-0.825775	0.006090	231
5637.887722	146.941513	-0.813477	0.005345	233
5639.948667	146.963425	-0.803239	0.004714	235
5642.012702	147.094864	-0.794547	0.004531	237
5644.079748	147.214417	-0.787150	0.003984	239
5646.142782	147.376984	-0.779886	0.003788	241
5648.209700	147.544907	-0.768361	0.003741	243
5650.273737	147.727539	-0.759072	0.003426	245
5652.337827	147.849884	-0.748933	0.003197	247
5653.922045	230.044785	-0.006899	0.100000	249
5655.442941	327.103821	-0.741350	0.002358	251
5657.500288	327.591156	-0.734422	0.001899	253
5659.554255	328.175446	-0.723203	0.001665	255
5661.619258	328.310608	-0.706974	0.002061	1
5663.688215	327.846680	-0.695839	0.002833	3
5665.767375	327.002869	-0.685088	0.002558	5
5667.839367	326.476471	-0.680300	0.001811	7
5669.906131	326.492676	-0.674547	0.000515	9
5671.965416	326.891571	-0.672627	-0.000130	11
5674.021510	327.640503	-0.666933	-0.000223	13
5676.076969	328.142700	-0.654004	-0.000237	15
5678.137491	328.217102	-0.641986	-0.000089	17
5680.201481	327.933411	-0.633314	0.000100	19
5682.272965	327.575684	-0.624789	-0.000294	21
5684.339661	327.393311	-0.618322	-0.000523	23
5686.406523	327.255280	-0.611405	-0.000870	25
5688.473934	327.188751	-0.604773	-0.001246	27
5690.536493	327.114594	-0.598977	-0.001268	29
5692.598716	327.052887	-0.591168	-0.001730	31
5694.662258	327.017731	-0.582475	-0.001888	33
5696.724656	326.949799	-0.574437	-0.001976	35
5698.783907	326.905029	-0.565626	-0.002287	37
5700.852752	326.974518	-0.556255	-0.002648	39
5702.921665	327.173950	-0.548096	-0.003237	41
5704.999214	327.582458	-0.540393	-0.003629	43
5707.071763	328.033783	-0.534176	-0.003617	45
5709.144588	328.291748	-0.529144	-0.003468	47
5711.211827	328.149658	-0.527331	-0.003090	49
5713.265010	327.705902	-0.524042	-0.003317	51
5715.323665	327.155426	-0.518692	-0.003662	53
5717.381028	326.878479	-0.510368	-0.004165	55
5719.432476	326.858368	-0.501802	-0.004623	57
5721.498232	327.046082	-0.491499	-0.005065	59
5723.559589	327.244873	-0.484710	-0.005176	61
5725.623345	327.444305	-0.478590	-0.005440	63
5727.693940	327.600159	-0.473092	-0.005490	65
5729.758057	327.725464	-0.466812	-0.005929	67
5731.818292	327.875946	-0.461704	-0.006106	69
5733.882195	327.964020	-0.456348	-0.006219	71
5735.948709	328.090637	-0.448631	-0.006705	73
5738.012465	328.183044	-0.441947	-0.006811	75
5740.072794	328.052887	-0.437070	-0.006691	77
5742.150484	320.562775	-0.270288	-0.036602	79
5743.220723	151.480560	-0.271124	-0.025847	81
5745.281524	147.025955	-0.430831	-0.007246	83
5747.331696	147.551926	-0.425593	-0.007274	85
5749.387218	148.108566	-0.417338	-0.007177	87
