time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3259.269491	331.828979	-0.959709	0.002580	125
3260.804261	41.070457	-0.004741	0.100000	127
3262.334080	151.667694	-0.938304	0.002319	129
3264.395562	151.696030	-0.921563	0.002138	131
3266.464199	149.062881	-0.412214	0.100000	133
3267.523529	327.832764	-0.432213	0.039398	135
3269.586341	331.681213	-0.883019	0.000992	137
3271.648855	331.700928	-0.868476	0.000806	139
3273.708983	331.741760	-0.853201	0.000404	141
3275.774278	331.726501	-0.839095	0.000103	143
3277.838348	331.808350	-0.824094	-0.000059	145
3279.902575	331.778107	-0.809133	-0.000508	147
3281.967235	331.786011	-0.792637	-0.000796	149
3284.034239	316.828918	-0.356658	-0.100000	151
3285.041424	152.064133	-0.345705	-0.100000	153
3287.102858	151.915710	-0.757451	-0.001182	155
3289.161324	151.852188	-0.741544	-0.001627	157
3291.222324	151.870331	-0.726313	-0.002071	159
3292.808421	53.570713	-0.003101	-0.100000	161
3294.365954	331.958923	-0.700228	-0.002985	163
3296.433294	331.974396	-0.687268	-0.003248	165
3298.499108	331.924042	-0.673459	-0.003588	167
3300.561528	331.885681	-0.660306	-0.003929	169
3302.625665	331.871948	-0.649934	-0.003939	171
3304.692117	331.783783	-0.638156	-0.004404	173
3306.755462	331.771515	-0.624968	-0.004551	175
3308.815044	331.758575	-0.614005	-0.004775	177
3310.877264	331.743805	-0.604408	-0.005028	179
3312.940737	331.824677	-0.595472	-0.005089	181
3315.002092	331.913574	-0.585840	-0.005361	183
3317.059369	332.036774	-0.575734	-0.005597	185
3319.122029	332.194183	-0.565908	-0.005546	187
3321.184748	332.282806	-0.555510	-0.005674	189
3323.246414	332.337616	-0.544581	-0.005869	191
3325.308008	332.259918	-0.533384	-0.005964	193
3327.375500	332.225952	-0.522250	-0.006227	195
3329.441634	332.014374	-0.511063	-0.006353	197
3331.505565	331.921082	-0.500717	-0.006532	199
3333.571303	331.793945	-0.490349	-0.006676	201
3335.636682	331.722290	-0.480190	-0.006963	203
3337.700222	331.654388	-0.470527	-0.007243	205
3339.762524	331.639862	-0.461611	-0.007566	207
3341.828106	331.671204	-0.453614	-0.007449	209
3343.898963	331.601562	-0.445033	-0.007810	211
3345.959791	331.615448	-0.437279	-0.007728	213
3348.018965	331.550690	-0.427836	-0.007942	215
3350.082322	331.542816	-0.418658	-0.008089	217
3351.619000	233.667191	-0.008965	-0.100000	219
3353.142700	152.370529	-0.407875	-0.008015	221
3355.207926	152.507019	-0.398762	-0.007978	223
3357.271867	152.567520	-0.391996	-0.008129	225
3359.333962	152.625885	-0.384847	-0.008157	227
3361.393501	152.587662	-0.377568	-0.008087	229
3363.449778	152.521667	-0.370636	-0.008182	231
3365.506485	152.350967	-0.363201	-0.008017	233
3367.570810	152.280670	-0.353948	-0.008166	235
3369.631409	152.306824	-0.344728	-0.008460	237
3371.693111	152.254974	-0.337091	-0.008610	239
3373.745016	152.245270	-0.328765	-0.008981	241
3375.798431	152.238419	-0.321274	-0.009119	243
3377.872755	152.229828	-0.316666	-0.008820	245
3379.930383	152.165192	-0.310725	-0.009117	247
3381.993826	152.205170	-0.301720	-0.009849	249
3384.049791	152.354370	-0.296130	-0.009749	251
3386.111447	152.347641	-0.291029	-0.009349	253
3388.176071	152.326508	-0.285019	-0.009646	255
3390.254430	152.404541	-0.279507	-0.009525	1
3392.301717	152.374069	-0.275190	-0.009149	3
3393.933147	62.561035	-0.006955	-0.100000	5
