crossing time (s)	slope (V/s)	crossing number
7796.959236	-95.871044	5900
7798.021414	-97.802361	5901
7799.077650	-97.568780	5902
7800.151678	-90.058547	5903
7801.187987	-86.375034	5904
7802.196952	-88.560638	5905
7803.253986	-86.093943	5906
7804.269879	-84.017049	5907
7805.363710	-82.680630	5908
7806.376630	-78.973926	5909
7807.411485	-79.406753	5910
7808.446719	-78.289683	5911
7809.521587	-75.416065	5912
7810.541758	-71.590166	5913
7811.618806	-71.966127	5914
7812.619807	-70.425675	5915
7813.667072	-68.801841	5916
7814.713279	-66.140615	5917
7815.751744	-67.608945	5918
7816.782698	-60.827546	5919
7817.858100	-62.278326	5920
7818.894410	-61.217698	5921
7819.928831	-59.193640	5922
7820.969203	-58.837773	5923
7821.991850	-55.156509	5924
7823.062311	-51.617870	5925
7824.073923	-53.923847	5926
7825.128372	-52.322140	5927
7826.200443	-51.236017	5928
7827.220519	-48.680717	5929
7828.259038	-47.347864	5930
7829.301286	-47.328790	5931
7830.331822	-46.160640	5932
7831.413017	-43.950591	5933
7832.448001	-44.077086	5934
7833.466166	-40.994092	5935
7834.530652	-39.764392	5936
7835.557834	-39.256184	5937
7836.620386	-38.537441	5938
7837.623513	-34.556255	5939
7838.722651	-38.195538	5940
7839.735449	-36.917335	5941
7840.790867	-36.140731	5942
7841.828585	-33.658215	5943
7842.854124	-32.071501	5944
7843.882539	-31.716448	5945
7844.952826	-31.062443	5946
7845.997144	-31.446121	5947
7847.057055	-30.717639	5948
7848.046849	-29.600267	5949
7849.120587	-28.722351	5950
7850.117693	-27.596809	5951
7851.207802	-29.002610	5952
7852.224734	-25.485949	5953
7853.275613	-26.638978	5954
7854.334701	-24.787008	5955
7855.379526	-27.105414	5956
7856.421395	-24.169874	5957
7857.466354	-20.753217	5958
7858.481148	-21.733733	5959
7859.515631	-23.442109	5960
7860.570995	-21.434142	5961
7861.632040	-20.794037	5962
7862.640207	-20.623821	5963
7863.689128	-18.605606	5964
7864.755192	-20.325268	5965
7865.770420	-16.961154	5966
7866.848551	-16.438830	5967
7867.879284	-17.307763	5968
7868.900642	-17.675236	5969
7869.929913	-18.157053	5970
7870.996148	-16.777460	5971
7871.986742	-16.989467	5972
7873.079835	-14.947624	5973
7874.126275	-16.020246	5974
7875.148309	-14.038040	5975
7876.203678	-17.034853	5976
7877.254457	-13.662897	5977
7878.282615	-12.283333	5978
7879.334356	-12.333860	5979
7880.366605	-11.070996	5980
7881.417580	-15.269669	5981
