crossing time (s)	slope (V/s)	crossing number
5856.563386	-43.927118	6877
5857.555908	-48.849226	6878
5858.609611	-49.923612	6879
5859.626775	-41.173387	6880
5860.669989	-43.613745	6881
5861.697236	-46.638064	6882
5862.681531	-48.101810	6883
5863.264951	-2.957220	6884
5863.752230	-45.786754	6885
5864.765737	-41.948720	6886
5865.433581	-1.940432	6887
5865.854894	-46.182735	6888
5866.826216	-42.909662	6889
5867.945731	-45.224060	6890
5868.908448	-41.274980	6891
5869.989244	-43.695238	6892
5871.008474	-42.990802	6893
5872.074558	-42.290936	6894
5873.102961	-41.988848	6895
5874.116231	-39.850359	6896
5875.125928	-45.649511	6897
5876.174488	-42.633676	6898
5877.186016	-37.431864	6899
5878.216259	-40.790679	6900
5879.269790	-36.476492	6901
5880.226143	-36.569754	6902
5881.351383	-35.910444	6903
5882.341862	-35.437801	6904
5883.393914	-35.158432	6905
5884.385843	-35.401681	6906
5885.493555	-37.169671	6907
5886.480755	-34.209107	6908
5887.002610	1.427446	6909
5887.518438	-37.398237	6910
5888.541501	-31.042342	6911
5889.526488	-33.845490	6912
5890.657891	-31.137322	6913
5891.687222	-35.013839	6914
5892.716382	-30.944712	6915
5893.666010	-31.226632	6916
5894.794933	-31.531986	6917
5895.756532	-30.330432	6918
5896.861294	-29.517271	6919
5897.848139	-29.143297	6920
5898.878855	-33.932282	6921
5899.936175	-29.331636	6922
5900.962750	-27.848162	6923
5901.941395	-28.925492	6924
5902.987951	-27.992194	6925
5904.052651	-31.429959	6926
5905.101678	-31.120587	6927
5906.097931	-27.906268	6928
5907.165532	-27.554278	6929
5908.148655	-26.792214	6930
5909.215441	-28.782399	6931
5910.210927	-25.451915	6932
5911.274400	-27.083687	6933
5912.278431	-25.518199	6934
5913.358507	-26.562082	6935
5914.350131	-25.235466	6936
5915.436629	-27.622550	6937
5916.423381	-24.679686	6938
5917.458054	-24.810019	6939
5918.514791	-23.558932	6940
5919.565590	-23.510739	6941
5920.582237	-23.146769	6942
5921.589188	-23.978425	6943
5922.489767	-15.556971	6944
5923.635310	-21.852226	6945
5924.688551	-21.355331	6946
5925.740490	-23.505420	6947
5926.798337	-24.522162	6948
5927.802384	-19.902475	6949
5928.816883	-20.092750	6950
5929.826053	-21.866966	6951
5930.881970	-21.038706	6952
5931.944099	-19.685267	6953
5932.928821	-18.894229	6954
5934.042285	-20.714380	6955
5934.969871	-19.974480	6956
5936.055648	-17.810070	6957
5937.077727	-18.818179	6958
5938.151374	-19.035244	6959
5939.147678	-18.456041	6960
5940.227662	-18.008543	6961
5941.189527	-16.311080	6962
5942.270320	-18.480436	6963
5943.231459	-19.908873	6964
5944.323707	-18.453696	6965
5945.326452	-17.900442	6966
5946.401677	-18.627891	6967
5947.389538	-18.708378	6968
5948.506027	-15.061882	6969
5949.482980	-19.034568	6970
5950.543635	-16.179684	6971
5951.523416	-18.183930	6972
5952.582900	-15.821968	6973
5953.607216	-14.922078	6974
5954.680983	-15.405696	6975
5955.669033	-17.921522	6976
5956.716044	-15.733043	6977
5957.736481	-16.089690	6978
5958.731663	-15.222987	6979
5959.817518	-14.260312	6980
5960.832481	-18.092529	6981
5961.875941	-15.431793	6982
5962.873228	-14.822495	6983
5963.979718	-16.139489	6984
5964.956481	-15.402857	6985
5965.989627	-14.674869	6986
5967.007512	-14.652847	6987
5968.051389	-14.028301	6988
5969.109453	-12.533697	6989
5970.115914	-12.816152	6990
5971.142303	-12.202354	6991
5972.206873	-15.709596	6992
5973.234817	-15.941165	6993
5974.225279	-14.263440	6994
5975.330685	-13.062902	6995
5976.300209	-12.745239	6996
5977.378670	-11.777128	6997
5978.361381	-13.221528	6998
5979.443125	-11.799667	6999
5980.430199	-11.801075	7000
5981.533898	-11.295706	7001
5982.509726	-10.486010	7002
5983.577431	-11.469457	7003
5984.544298	-9.303682	7004
5985.612277	-10.993647	7005
5986.583725	-13.697162	7006
