time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8149.877664	267.046967	1.213038	0.100000	67
8151.959671	261.291351	1.204940	0.100000	69
8154.048546	263.619904	1.177644	0.100000	71
8156.131850	260.747833	1.146531	0.100000	73
8158.216796	260.828400	1.109669	0.100000	75
8160.304978	263.297882	1.065684	0.100000	77
8162.390565	260.405273	1.018778	0.100000	79
8164.474017	261.748993	0.988719	0.100000	81
8166.556319	262.840576	0.959545	0.100000	83
8168.637522	260.795685	-0.911961	0.100000	85
8170.723743	260.615540	-0.801340	0.100000	87
8172.809925	260.392120	-0.861355	0.100000	89
8174.897731	259.295471	-0.845783	0.100000	91
8176.982065	260.359650	-0.797504	0.100000	93
8179.061749	260.471100	-0.801628	0.100000	95
8181.144677	243.045303	-0.783802	0.100000	97
8183.228572	260.148102	-0.740022	0.100000	99
8185.311031	260.363220	-0.690263	0.100000	101
8187.398788	260.421600	-0.664994	0.100000	103
8189.481396	260.437500	-0.707622	0.095569	105
8191.567774	259.744781	-0.655303	0.100000	107
8193.650870	259.827454	-0.649953	0.100000	109
8195.735936	259.580414	-0.639556	0.100000	111
8197.818085	258.628510	-0.770120	0.100000	113
8199.901399	256.662933	-0.679776	0.100000	115
8201.987945	260.202301	-0.593403	0.085752	117
8204.075264	260.427795	-0.577643	0.084106	119
8206.164525	260.592407	-0.559723	0.082450	121
8208.251135	260.830688	-0.543526	0.081025	123
8210.331182	260.556793	-0.530414	0.079702	125
8212.410708	259.713806	-0.517473	0.077832	127
8214.489287	258.976349	-0.500052	0.075848	129
8216.573687	259.277679	-0.483708	0.073886	131
8218.660882	259.743927	-0.469074	0.072148	133
8220.750432	259.960144	-0.456842	0.070532	135
8222.838463	260.027954	-0.442961	0.069373	137
8224.922127	259.993652	-0.430603	0.067925	139
8227.008490	260.059875	-0.417926	0.066551	141
8229.092572	259.947113	-0.406495	0.065092	143
8231.176878	259.979431	-0.394520	0.063545	145
8233.260667	259.782135	-0.381952	0.062136	147
8235.348417	259.573181	-0.372752	0.060513	149
8237.426730	259.476471	-0.362271	0.059191	151
